time,AX,AY,AZ
2022-12-10 10:28:18.901205,883,-5743,14787
2022-12-10 10:28:19.007874,-949,-4086,18018
2022-12-10 10:28:19.114545,269,-3752,15796
2022-12-10 10:28:19.221184,509,-5908,13547
2022-12-10 10:28:19.327855,798,-5653,16061
2022-12-10 10:28:19.434516,-1270,-2709,16313
2022-12-10 10:28:19.541147,118,-3925,14861
2022-12-10 10:28:19.647815,-116,-3467,14085
2022-12-10 10:28:19.754456,-591,-3644,15314
2022-12-10 10:28:19.861233,-930,-1346,14601
2022-12-10 10:28:19.967893,-1063,-6034,16149
2022-12-10 10:28:20.074564,-1469,-7676,17227
2022-12-10 10:28:20.181235,-228,-2244,17194
2022-12-10 10:28:20.287891,97,-3457,15819
