時刻,x軸の加速度,y軸の加速度,z軸の加速度,x軸の速度,y軸の加速度,z軸の加速度,PCから受信した値
2023-02-17 05:21:05.062191,-8.26504462,-98.89221992999998,-23.64187182,-0.0030779837838323942,-0.03682843387855428,-0.00880446524212175,b''
2023-02-17 05:21:05.265825,-8.16893945,-98.79611475999998,-23.545766649999997,-0.0030110312437301445,-0.036415766100617475,-0.008678854761342336,b''
2023-02-17 05:21:05.469539,-8.16893945,-98.79611475999998,-23.44966148,-0.0029467595548311465,-0.03563845673374999,-0.008458933310350858,b''
2023-02-17 05:21:05.673312,-8.072834279999999,-98.79611475999998,-23.545766649999997,-0.0032392931206715048,-0.039642777715016564,-0.00944793826863588,b''
2023-02-17 05:21:05.877051,-8.16893945,-98.89221992999998,-23.545766649999997,-0.0031142554713596837,-0.03770081035327166,-0.008976383417461875,b''
2023-02-17 05:21:06.080798,-8.16893945,-98.79611475999998,-23.44966148,-0.003044140901650394,-0.03681619819883508,-0.008738475058862605,b''
2023-02-17 05:21:06.284672,-8.072834279999999,-98.89221992999998,-23.44966148,-0.0030352734707719264,-0.03718210001704847,-0.008816746748436799,b''
2023-02-17 05:21:06.488295,-8.072834279999999,-98.89221992999998,-23.44966148,-0.003021800475025316,-0.03701705581909209,-0.008777610903649702,b''
2023-02-17 05:21:06.692259,-8.072834279999999,-98.89221992999998,-23.545766649999997,-0.003008327479278705,-0.036852011621135716,-0.008774288481220083,b''
2023-02-17 05:21:06.896053,-8.16893945,-98.79611475999998,-23.545766649999997,-0.0030168741245404362,-0.036486430588524854,-0.008695696006014941,b''
2023-02-17 05:21:07.099923,-8.16893945,-98.79611475999998,-23.545766649999997,-0.00306556479795006,-0.03707530132112424,-0.008836039711724197,b''
2023-02-17 05:21:07.303779,-8.16893945,-98.89221992999998,-23.545766649999997,-0.0031142554713596837,-0.03770081035327166,-0.008976383417461875,b''
2023-02-17 05:21:07.507528,-8.072834279999999,-98.89221992999998,-23.44966148,-0.0030064027656067083,-0.03682843387855428,-0.00873288422388896,b''
